Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
12,Rice,2.01,6.13
13,Rice,2.133,5.957
14,Rice,2.127,6.622
15,Rice,2.026,5.766
16,Rice,2.082,6.025
17,Rice,2.155,6.158
18,Rice,2.176,6.188
19,Rice,2.042,6.186
20,Rice,2.003,5.881
21,Rice,2.151,6.071
22,Rice,2.121,5.838
23,Rice,2.139,5.499
24,Rice,1.909,6.174
25,Rice,2.137,5.397
26,Rice,1.978,6.344
27,Rice,2.048,6.254
28,Rice,2.161,5.712
29,Rice,2.046,5.968
30,Rice,2.09,5.988
31,Rice,2.147,6.34
32,Rice,2.023,6.579
33,Rice,2.126,6.434
34,Rice,2.163,5.993
35,Rice,2.136,6.017
36,Rice,2.132,6.053
37,Rice,1.838,5.524
38,Rice,1.978,6.139
39,Rice,2.101,5.878
40,Rice,2.032,5.757
41,Rice,2.12,5.311
42,Rice,2.157,6.285
43,Rice,1.915,5.597
